"Category","Helsinki Kaisaniemi","Sodankylä","Helsinki 1991-2020 (6,5 °C)","Sodankylä 1991-2020 (0,3 °C)"
1900,3.7,,,
1901,5,,,
1902,2.7,,,
1903,5.7,,,
1904,3.9,,,
1905,5,,,
1906,5.6,,,
1907,3.7,,,
1908,4.3,-0.8,,
1909,4.4,-1,,
1910,6.1,-0.4,,
1911,5.2,-0.2,,
1912,4.5,-2.7,,
1913,5.6,-1,,
1914,5.7,-0.8,,
1915,2.9,-3.4,,
1916,4.4,-1,,
1917,4,-2.6,,
1918,4.8,-0.4,,
1919,4.2,-1.5,,
1920,6.1,1.3,,
1921,5.1,-0.8,,
1922,4,-1,,
1923,4.1,-0.8,,
1924,5.3,-0.2,,
1925,5.4,-0.5,,
1926,4.2,-1.4,,
1927,4.7,-1.4,,
1928,4.7,-1.1,,
1929,4.5,-0.6,,
1930,6.6,0.2,,
1931,4.2,-0.4,,
1932,5.8,0.4,,
1933,5,-1,,
1934,7.2,1.2,,
1935,5.8,-0.4,,
1936,6.3,-0.2,,
1937,6.2,1.2,,
1938,7.1,2.5,,
1939,5.9,-0.4,,
1940,3.6,-1.7,,
1941,2.8,-2.9,,
1942,3.1,-2.3,,
1943,6.7,1,,
1944,6.1,0.5,,
1945,5,-1.2,,
1946,5.3,-0.1,,
1947,4.4,-1.1,,
1948,5.8,0.3,,
1949,6.9,0.8,,
1950,5.5,0.3,,
1951,5.5,-1,,
1952,4.7,-0.6,,
1953,6.3,0.9,,
1954,5.6,0.3,,
1955,4.6,-3.4,,
1956,3.8,-2.5,,
1957,5.7,-0.2,,
1958,4.2,-1.4,,
1959,6.5,0.4,,
1960,5.2,-0.5,,
1961,6.9,0.9,,
1962,4.7,-1.7,,
1963,4.9,-0.9,,
1964,5.5,-0.2,,
1965,4.9,-1.6,,
1966,4.1,-2.9,,
1967,5.5,-0.3,,
1968,4.8,-2.2,,
1969,4.3,-1.5,,
1970,4.6,-1.1,,
1971,5.3,-2.3,,
1972,6.1,0.8,,
1973,5.5,-1,,
1974,6.7,1.6,,
1975,7,0.1,,
1976,4.2,-1.9,,
1977,4.6,-1.5,,
1978,3.9,-2.4,,
1979,4.8,-0.9,,
1980,4.8,-2,,
1981,5,-2.4,,
1982,5.7,-0.5,,
1983,6.1,-0.9,,
1984,6.1,0,,
1985,3.4,-3.5,,
1986,5,-1.2,,
1987,3.3,-2.4,,
1988,5.9,-0.9,,
1989,7.1,1.3,,
1990,6.7,0.4,,
1991,6.2,-0.6,6.5,0.3
1992,6.4,0.3,6.5,0.3
1993,5.5,-0.6,6.5,0.3
1994,5.3,-0.2,6.5,0.3
1995,6.2,-0.5,6.5,0.3
1996,4.9,-0.3,6.5,0.3
1997,6.2,-0.3,6.5,0.3
1998,5.4,-2,6.5,0.3
1999,6.3,-0.4,6.5,0.3
2000,7.2,1.2,6.5,0.3
2001,5.9,-0.5,6.5,0.3
2002,6.1,-0.5,6.5,0.3
2003,5.6,0.4,6.5,0.3
2004,6.2,0.4,6.5,0.3
2005,6.6,1.5,6.5,0.3
2006,6.7,0.6,6.5,0.3
2007,7,0.8,6.5,0.3
2008,7.6,0.5,6.5,0.3
2009,6.2,0.5,6.5,0.3
2010,5,-1.1,6.5,0.3
2011,7.2,1.7,6.5,0.3
2012,5.9,-0.4,6.5,0.3
2013,7,1.1,6.5,0.3
2014,7.3,1.5,6.5,0.3
2015,7.8,1.6,6.5,0.3
2016,6.6,1.5,6.5,0.3
2017,6.6,0.3,6.5,0.3
2018,7.3,1.4,6.5,0.3
2019,7.4,0,6.5,0.3
2020,8.7,2.2,6.5,0.3
2021,6.5,0.3,,
2022,7.3,1.5,,
2023,7.1,0.8,,
2024,7.8,1.7
