"vuosi","maakunta","laji","Yrityksiä (kpl)","Kasvihuoneala (1 000 m²)","Viljelyala (1 000 m²)","Kasvihuoneala valotetussa viljelyssä (1 000 m²)","Sato (1 000 kg)","Sato (1 000 kpl)"
"2014","KOKO MAA","TOTAL VEGETABLES",566,2250,3982,..,83058,..
"2014","KOKO MAA","Tomato",332,1040,1057,..,39890,..
"2014","KOKO MAA","Special Tomatoes",..,..,..,..,..,..
"2014","KOKO MAA","Greenhouse Cucumber",246,589,958,..,38386,..
"2014","KOKO MAA","Field Cucumber",77,57,60,..,680,..
"2014","KOKO MAA","Soft-Leaf Lettuce",47,128,942,..,2601,..
"2014","KOKO MAA","Crisp-Leaf Lettuce",20,29,69,..,96,..
"2014","KOKO MAA","Napa Gabbage",7,16,16,..,94,..
"2014","KOKO MAA","Sweet Pepper",79,53,51,..,520,..
"2014","KOKO MAA","Dill",72,86,340,..,128,..
"2014","KOKO MAA","Parsley",56,88,309,..,136,..
"2014","KOKO MAA","Carrot",33,64,68,..,186,..
"2014","KOKO MAA","Onion",34,66,69,..,136,..
"2014","KOKO MAA","Other Vegetables",37,34,44,..,205,..
"2014","KOKO MAA","TOTAL POTTED VEGETABLES",78,334,..,..,..,108132
"2014","KOKO MAA","Lettuce (potted)",62,270,..,..,..,84633
"2014","KOKO MAA","Dill (potted)",32,16,..,..,..,6230
"2014","KOKO MAA","Parsley (potted)",32,11,..,..,..,3393
"2014","KOKO MAA","Basil (potted)",30,11,..,..,..,5285
"2014","KOKO MAA","Other Vegetables and Herbs (potted)",30,26,..,..,..,8591
"2014","KOKO MAA","TOTAL BERRIES",31,..,39,..,95,..
"2014","KOKO MAA","Strawberry",27,..,26,..,82,..
"2014","KOKO MAA","Other Berries",11,..,13,..,13,..
"2015","KOKO MAA","TOTAL VEGETABLES",578,2164,3560,..,83923,..
"2015","KOKO MAA","Tomato",343,1037,1130,..,38891,..
"2015","KOKO MAA","Special Tomatoes",..,..,..,..,..,..
"2015","KOKO MAA","Greenhouse Cucumber",236,552,921,..,40488,..
"2015","KOKO MAA","Field Cucumber",74,72,80,..,888,..
"2015","KOKO MAA","Soft-Leaf Lettuce",42,112,798,..,1879,..
"2015","KOKO MAA","Crisp-Leaf Lettuce",17,24,128,..,114,..
